"phrase_id","idiom_id","phrase"
"4","1","Anna was flying in her nose when she discovered that her favorite dress was stained."
"5","1","After talking to a boss who didn't appreciate his efforts, Marek left the office with flies in his nose."
"6","1","The kids didn't know why the teacher had flies in her nose and she didn't want to talk to them."
"7","2","I'm trying to convince him to change his mind, but it's like throwing a peach at a wall because he won't listen to me."
"8","2","My asking for financial help from my parents is like throwing peas at a wall, because they always refuse."
"9","2","When I try to teach my dog new tricks, I feel like I'm throwing a peach at a wall."
"46","3","As Anna got promoted, her jealous colleagues began digging holes under her to try to challenge her authority"
"47","3","Mark suspected that someone at the company was digging holes under him because suddenly he was getting more complaints from customers."
"48","3","Instead of working with the band, Thomas kept digging other wells, which led to numerous conflicts."
"1","4","Anna always had a heart for helping those in need"
"2","4","You can see he has a heart on his hands because he always shares what he has with others."
"3","4","His kindness and willingness to help show that he truly has a heart in his hand"
"28","5","Mark always wins contests, he really has to be in the native hatch."
"29","5","When Caroline got her dream job right out of college, everyone said she was born in a cage."
"30","5","Janek was so lucky in life that his friends joked that he had to be in a native-born shack"
"37","6","An unexpected question left him out of the loop during an important presentation."
"38","6","Suddenly, a change of plans completely derailed her and she didn't know what to do next."
"39","6","The sight of an old friend years later knocked me out of my sight and I couldn't put my words out."
"55","7","And as we reform the education system, we have to be careful not to throw out a bath or get rid of the valuable elements of the current program."
"56","7","In an effort to improve the team's performance, the boss changed all the procedures, but unfortunately, he dumped the baby with a bath, losing his experienced staff."
"57","7","When we decided to update our product, we were afraid we wouldn't throw out the baby with a bath and lose its key features that customers loved."
"58","8","While we were talking about the past, I accidentally hit a sensitive spot, which caused the atmosphere to become tense."
"59","8","Critics of his work hit a sensitive spot, prompting an immediate defensive response."
"60","8","When she mentioned his old friend, she accidentally hit a sensitive spot, which she didn't mean to do."
"19","9","During a boring math class, Janek started floating in the clouds, imagining himself to be an astronaut."
"20","9","The cashier often buzzes in the clouds instead of focusing on his duties at work"
"21","9","When Martha hovers in the clouds, her friends always wonder what she's thinking so intensely about."
"43","10","When Marek needed help, she knew she could go to Ani like a smoke because she always had time for him."
"44","10","When the boss announced that he needed volunteers for a new project, Ela volunteered like a smoke, counting on new experiences"
"45","10","Children can always go to Grandma's because they know they'll find understanding and warm welcome"
"34","11","Anna always had a head on her neck, so she quickly found a solution to this complicated problem"
"35","11","In difficult situations, it's good to have someone with a head around your neck who can stay calm"
"36","11","Janek, though young, has a head on his neck and is able to make wise business decisions"
"13","12","In the band, she's always the first to play the violin, guiding all the projects and decisions."
"14","12","At the board meeting, the company's president played the first violin, setting the direction for future activities."
"15","12","In this family, it's my grandmother who plays the first violin, taking care of all matters and making the most important decisions."
"25","13","During the plastic class, it turned out that Ania had two left hands because her sculpture was completely inedible."
"26","13","When the Cranky tried to fix the crane, everyone quickly realized that he had two left hands."
"27","13","Zosia always says she has two left hands when you need to sew or sew something."
"10","14","Peter is a man who ate bread from several ovens, which is why he copes so well in difficult situations"
"11","14","Anna, who ate bread in a single oven, learned to adapt to different working conditions"
"12","14","Mark ate bread from several bakeries, so his professional experience is extremely impressive."
"22","15","The project we started last year is unfortunately delayed and awaits better times."
"23","15","Even though we have all the materials we need, our vegetable garden has been on hold for a few seasons."
"24","15","A library full of interesting books has been on hold since we started using e-books."
"31","16","Mark promised his partner gold mountains, then he bottled it and signed an unfavorable deal."
"32","16","When shopping online, be careful not to be bottled by dishonest sellers"
"33","16","Anna was sure she had found the perfect language course, but it turned out that the organizers just picked her up and put her in a bottle"
"52","17","Although Janek rarely saved money and led an intensive lifestyle, he always had good horse health and never complained about illness"
"53","17","My grandmother has a horse health problem because at 80 she still works in the garden and has no illnesses"
"54","17","When everyone in the office had a cold, Anna was the only one who didn't get sick, because she always had good horse health."
"49","18","You can't trust people who keep throwing their words at the wind, promising things they're not going to keep."
"50","18","It is important that negotiations do not just blow words away, but stick to facts and concrete findings."
"51","18","He promised to take care of the project, but as usual, he threw the words out of the wind and none of it worked."
"16","19","Kasia was bracing herself over a difficult math puzzle she was given in class."
"17","19","Mark's been working on a project for a week because he can't find the right solution."
"18","19","After struggling to choose a gift for Ani, I finally decided to write a book."
"40","20","At a business meeting, I had to keep my tongue shut to avoid betraying our competitor's plans."
"41","20","Kasia knows about Ani's birthday surprise, but she promised to keep her tongue to herself so she wouldn't spoil the surprise."
"42","20","Janek was so upset that he had a hard time keeping his tongue shut and not telling me what he really thought about the whole situation."
