"phrase_id","idiom_id","phrase"
"28","1","Strata tego pracy okazała się błogosławieństwem w przebraniu, ponieważ zmusiła mnie do podążania za moją prawdziwą pasją."
"29","1","Opóźnienie w naszej podróży okazało się błogosławieństwem, ponieważ uniknęliśmy burzy, która nawiedziła okolicę."
"30","1","Jej kontuzja wydawała się nieszczęśliwa na początku, ale okazała się błogosławieństwem w przebraniu, ponieważ doprowadziła ją do odkrycia nowego hobby, które kocha."
"76","2","W mieście kawiarnie są jak grzyby po deszczu, każda oferuje swój własny unikalny mieszankę."
"77","2","Jeśli chodzi o influencerów mediów społecznościowych, są jak grzyby po deszczu, ale tylko kilku wyróżnia się autentycznymi treściami."
"78","2","Tanie pamiątki w turystycznych miejscach są jak grzyby po deszczu, co sprawia, że trudno znaleźć coś naprawdę wyjątkowego."
"79","3","Zamiast owijać w bawełnę, po prostu powiedz mi, co naprawdę myślisz o propozycji."
"80","3","Podczas spotkania ciągle owijała w bawełnę, unikając głównego problemu, który musieliśmy omówić."
"81","3","Chciałbym, żeby nie owijał w bawełnę i po prostu dał nam jasną odpowiedź dotyczącą harmonogramu projektu."
"1","4","Po latach odkładania tego, w końcu ukończył pisanie swojej powieści, udowadniając, że lepiej późno niż wcale."
"2","4","W końcu przeprosiła swojego przyjaciela za swój błąd, pokazując, że lepiej późno niż wcale."
"3","4","W końcu wprowadzili długo oczekiwaną zmianę polityki, i wszyscy zgodzili się, że lepiej późno niż wcale."
"46","5","Mimo swojego lęku przed lataniem, John musiał zebrać się w sobie i wsiąść na pokład samolotu na ważną podróż służbową."
"47","5","Po miesiącach unikania dentysty, w końcu postanowiła złapać się w garść i umówić wizytę."
"48","5","Zdając sobie sprawę, że nie mógł już dłużej unikać konfrontacji, Mark wziął głęboki oddech i wziął się w garść przed wejściem do sali spotkań."
"13","6","Przed wielkim przesłuchaniem przyjaciele Sarah zebrali się wokół niej i powiedzieli: ""Powodzenia!"""
"14","6","Kiedy kurtyna podniosła się w pierwszym wieczorze, reżyser szepnął do obsady: ""Powodzenia, wszystkim!"""
"15","6","Przed ostatnim meczem sezonu trener powiedział swojej drużynie, żeby dała z siebie wszystko na boisku."
"91","7","Po dziesięciu godzinach intensywnych negocjacji zespół postanowił zakończyć dzień i wznowić jutro."
"92","7","Widząc zachód słońca nad horyzontem, wędrowcy zgodzili się, że nadszedł czas, aby zakończyć dzień i wrócić na pole namiotowe."
"93","7","Z ostatnim naczyniem umytym i kuchnią lśniącą, Maria poczuła się wystarczająco zadowolona, aby zakończyć dzień."
"31","8","Po przepracowaniu nadgodzin przez cały tydzień, jej szef postanowił dać jej trochę luzu i pozwolił jej wyjść wcześniej w piątek."
"32","8","Nauczyciel dał mu trochę luzu w terminie zadania, ponieważ wiedział, że miał do czynienia z nagłym problemem rodzinym."
"33","8","Mimo jego błędów, jego przyjaciele dali mu trochę luzu, rozumiejąc, że przechodził trudny okres."
"94","9","Wykonawca został zwolniony, ponieważ skracał koszty i naruszał bezpieczeństwo budynku."
"95","9","W próbie dotrzymania terminu, zespół zaczął ciąć skróty, co skutkowało poniżej standardowego produktem."
"96","9","Jeśli chodzi o jakość, nasza firma ma surową politykę przeciwko oszczędzaniu, zapewniającą tylko najlepsze produkty dla naszych klientów."
"64","10","Podczas gdy podnosiliśmy ciężką antyczną szafę, przypomniałem wszystkim, że warto ostrożnie, aby uniknąć uszkodzeń."
"65","10","Podczas szkolenia młodego szczeniaka, pamiętaj, żeby robić to powoli, aby zapewnić mu komfort i poczucie bezpieczeństwa."
"66","10","Kiedy zaczęliśmy skomplikowany obraz, artysta doradził nam, żeby iść powoli, aby osiągnąć idealne połączenie kolorów."
"73","11","Impreza zaczęła wymykać się spod kontroli, gdy pojawiły się niezaproszeni goście i muzyka grała na cały regulator."
"74","11","Jeśli teraz nie zajmiemy się problemami, sytuacja może wymknąć się spod kontroli i stać się nie do opanowania."
"75","11","Klasa zaczęła wymykać się spod kontroli, gdy na chwilę wyszła nauczycielka."
"55","12","Po tygodniach rozmów o wycieczce, postanowiła wreszcie ją zarezerwować i pozbyć się tego z głowy."
"56","12","Spędził cały weekend malując garaż, mając nadzieję, że uwolni swoją twórczą energię."
"57","12","Poszła na długi bieg, żeby pozbyć się stresu dnia z jej systemu."
"43","13","Po nie dotrzymywaniu wielu terminów, menedżer powiedział mu, żeby się ogarnął, jeśli chciał zachować pracę."
"44","13","Zdała sobie sprawę, że musi się zebrać, gdy prawie spóźniła się na lot z powodu złego planowania."
"45","13","Zbliżająca się duża prezentacja jest kluczowa dla zespołu, aby się zebrać i ostatecznie ustalić wszystkie szczegóły."
"67","14","Mimo że wyjaśnienie wydawało się mało prawdopodobne, postanowiłem dać jej korzyść wątpliwości i uwierzyć w jej historię."
"68","14","Kiedy John twierdził, że ma pilną sprawę rodziną, jego szef postanowił dać mu korzyść wątpliwości i pozwolił mu wyjść wcześniej."
"69","14","Mimo plotek, dała mu korzyść wątpliwości, dopóki nie miała wszystkich faktów."
"109","15","Po tym jak prototyp nie przeszedł testów bezpieczeństwa, zespół inżynieryjny nie miał innego wyboru, jak wrócić do tablicy projektowej."
"110","15","Kampania marketingowa nie trafiła w odbiorców, dlatego firma postanowiła wrócić do tablicy projektowej, aby opracować nową strategię."
"111","15","Kiedy aktualizacja oprogramowania spowodowała więcej problemów niż rozwiązała, programiści musieli wrócić do tablicy projektowej, aby rozwiązać te problemy."
"97","16","Mimo licznych przeszkód, menedżer zachęcił zespół, aby wytrwał do końca projektu."
"98","16","Kiedy Sarah miała trudny okres podczas egzaminów, jej przyjaciele powiedzieli jej, żeby się trzymała i obiecali, że lepsze dni nadejdą."
"99","16","Mimo burzowej pogody i długich dni na morzu, kapitan przypomniał swojej załodze, aby wytrwali do momentu dotarcia na brzeg."
"25","17","Po długim dniu wędrówki, byłem gotowy pójść spać i odpocząć."
"26","17","Myślę, że pójdę wcześniej spać dziś wieczorem, ponieważ mam dużą prezentację rano."
"27","17","Kiedy film się skończył, Sarah postanowiła pójść spać, ponieważ musiała wcześnie wstać do pracy."
"22","18","Składanie tej półki nie jest rakietową nauką, po prostu postępuj zgodnie z instrukcjami, a będzie dobrze."
"23","18","Gotowanie prostej potrawy z makaronem nie jest rakietową nauką, każdy może to zrobić z odrobiną praktyki."
"24","18","Skuteczne zarządzanie czasem nie jest rakietową nauką, po prostu wymaga trochę planowania i dyscypliny."
"37","19","Po zorientowaniu się, że zamieszanie było jej winą, menedżer postanowił odpuścić Tomowi."
"38","19","Nauczyciel odpuścił uczniom za niezrobienie pracy domowej z powodu awarii prądu."
"39","19","Mimo dowodów, decyzja jury uwolniła oskarżonego."
"100","20","Po zgubieniu się i skończeniu benzyny, krótko mówiąc, w końcu dotarliśmy na ślub akurat na czas przysięgi."
"101","20","Spotkanie trwało godzinami, ale krótko mówiąc, zdecydowaliśmy się przełożyć projekt na następny kwartał."
"102","20","Krótko mówiąc, po miesiącach poszukiwań pracy, zdobyła wymarzoną posadę w firmie technologicznej w centrum miasta."
"34","21","Jeśli dzisiaj nie złożysz swojego wniosku, możesz przegapić okazję na stypendium."
"35","21","Zbyt długo wahał się, zanim zaprosił ją na bal, teraz martwi się, że mógł przegapić okazję."
"36","21","Do czasu gdy zdecydowała się zainwestować w firmę, już przegapiła okazję, ponieważ ceny akcji wzrosły."
"40","22","""Bez bólu, nie ma zysku"" - to jest to, co mówi sobie za każdym razem, gdy przepycha się przez ostatni zestaw swojego treningu."
"41","22","Przypomniał swoim uczniom, że bez wysiłku nie ma efektów, co dotyczy ciężkiej nauki przed nadchodzącymi egzaminami."
"42","22","Motto trenera, bez bólu, nie ma zysku, zmotywowało drużynę do treningów cięższych niż kiedykolwiek wcześniej."
"10","23","Mimo krótkiego terminu, Maria była na bieżąco i złożyła raport wcześniej."
"11","23","Z tak wieloma nieprzewidywalnymi zmianami na rynku, kluczowe jest, aby doradca finansowy był na bieżąco."
"12","23","Szybka reakcja Jacka na nieoczekiwany problem pokazała wszystkim, że był naprawdę na bieżąco."
"4","24","Myślałem, że był poważny co do wygrania loterii, ale okazało się, że tylko żartował."
"5","24","Kiedy powiedziała mi, że potrafi mówić siedmioma językami, wiedziałem, że żartuje."
"6","24","Lubi żartować z bratem, opowiadając mu absurdalne historie."
"16","25","Po otrzymaniu rozczarowujących wieści, wzięła głęboki oddech i postanowiła, że nadszedł czas, aby się zebrać i iść naprzód."
"17","25","Mimo chaosu wokół niego, wiedział, że musi się zebrać, aby poprowadzić swoją drużynę przez kryzys."
"18","25","Czując się przytłoczonym ilością pracy, wyszedł na chwilę na zewnątrz, aby zebrać myśli i pozbierać się, zanim wrócił do biurka."
"58","26","Dotychczas podróżowaliśmy przez pięć godzin bez żadnych problemów; jak dotąd wszystko idzie dobrze."
"59","26","Termin projektu zbliża się, a zespół jest na dobrej drodze; jak dotąd wszystko idzie dobrze."
"60","26","Przestrzegam mojej nowej diety od tygodnia i czuję się świetnie; jak dotąd wszystko idzie dobrze."
"88","27","Właśnie rozmawialiśmy o tym, jak dawno nie widzieliśmy Toma, a oto on sam wszedł przez drzwi."
"89","27","Opowiadałem Sarah o nowych zasadach menadżera, gdy nagle, o wilku mowa, dołączył do naszego spotkania niespodziewanie."
"90","27","Kiedy plotkowaliśmy o jej dziwnych wyborach modowych, o wilku mowa, ona dumnie wszedł do biura w neonowej zielonej czapce."
"82","28","Po miesiącach ciągłych opóźnień i braku komunikacji ze strony wykonawcy, rozbite okno było kroplą, która przepełniła czarę goryczy Emily."
"83","28","Tim był cierpliwy wobec swoich hałaśliwych sąsiadów, ale kiedy zorganizowali kolejną głośną imprezę w środku tygodnia, to był ostatnia kropla."
"84","28","Kiedy menedżer ogłosił kolejne obniżki płac, to był ostatni gwóźdź do trumny, i pracownicy postanowili zorganizować strajk."
"52","29","Mieszkając w mieście, ale mając dom na wsi, pozwala jej to cieszyć się najlepszymi stronami obu światów."
"53","29","Pracując zdalnie dla firmy z siedzibą w Paryżu, on ma to, co najlepsze: międzynarodową karierę bez opuszczania swojego miasta rodzinengo."
"54","29","Dzięki swojemu hybrydowemu samochodowi, ona ma najlepsze z obu światów: efektywność energii elektrycznej i zasięg silnika benzynowego."
"103","30","Spędziliśmy całe popołudnie grając w gry i rozmawiając, i zanim się obejrzeliśmy, czas leci, gdy się dobrze bawisz."
"104","30","Na spotkaniu rodzinny, byliśmy tak zajęci nadrabianiem zaległości i śmiechem, że czas leci, gdy się dobrze bawisz."
"105","30","Podczas naszych wakacji, każdy dzień wydawał się mijać w mgnieniu oka, ponieważ czas leci, gdy się dobrze bawisz."
"85","31","Kiedy termin projektu został przesunięty o tydzień, Sarah się zdenerwowała z powodu nieoczekiwanej zmiany."
"86","31","Eddie ma tendencję do wychodzenia z siebie, kiedy ktoś proponuje nowy sposób robienia rzeczy."
"87","31","Nie ma potrzeby denerwować się z powodu małego błędu; możemy go łatwo naprawić."
"106","32","Sarah była już spóźniona na swoje spotkanie, a co gorsza, zdała sobie sprawę, że zostawiła swoje notatki do prezentacji w domu."
"107","32","Burza wyłączyła prąd w całej okolicy, a co gorsza, zapasowy generator nie uruchomił się."
"108","32","Tom zapomniał swojej parasolki, a na domiar złego zaczął lać właśnie wtedy, gdy wyszedł z biura."
"19","33","Maria postanowiła zostać w domu z pracy dzisiaj, ponieważ czuła się źle."
"20","33","Mimo że czuł się kiepsko, Jack i tak zdołał skończyć swój raport na czas."
"21","33","Po złapaniu przeziębienia Emily spędziła weekend na kwarantannie i odpoczywając w łóżku."
"7","34","Nie ma potrzeby martwić się o budżet na projekt na przyszły rok teraz; zajmiemy się tym, gdy do tego dojdziemy."
"8","34","Jeśli zaczniemy myśleć o każdym możliwym problemie, nigdy nie zaczniemy, więc po prostu przekroczmy ten most, gdy do niego dojdziemy."
"9","34","Aktualizacja oprogramowania może spowodować pewne problemy, ale zajmiemy się nimi, gdy się pojawią i naprawimy je odpowiednio."
"49","35","Po przeczytaniu złożonej pracy badawczej, zajęło mi trochę czasu, aby zrozumieć nowe koncepcje naukowe przedstawione."
"50","35","Nowa aktualizacja oprogramowania jest tak różna, że cały zespół potrzebuje trochę czasu, aby się z nią oswoić."
"51","35","Mimo jasnych instrukcji, nadal próbuję zrozumieć, jak działa nowa maszyna."
"70","36","Pogoda była nieznośnie gorąca w tym tygodniu; można powiedzieć to jeszcze raz."
"71","36","Po wypróbowaniu nowej restauracji w centrum miasta, zgodziliśmy się, że to był najlepszy posiłek, jaki mieliśmy od dawna, i możesz to powtórzyć."
