"phrase_id","idiom_id","phrase"
"4","1","Anna had a bee in her bonnet when she discovered that her favorite dress was stained."
"5","1","After a conversation with his boss, who did not appreciate his efforts, Marek left the office with a bee in his bonnet."
"6","1","The children did not know why the teacher had flies in her nose and did not want to talk to them."
"7","2","I am trying to convince him to change his decision, but it's like throwing peas against the wall because he doesn't want to listen to me."
"8","2","My requests for financial help from my parents are like throwing peas at a wall, because they always refuse."
"9","2","When I try to teach my dog new tricks, I feel like I'm throwing peas against the wall."
"46","3","When Anna got promoted, her jealous colleagues started digging holes under her, trying to undermine her authority."
"47","3","Marek suspected that someone in the company was undermining him because he suddenly started receiving more complaints from customers."
"48","3","Instead of cooperating with the team, Tomasz kept digging holes under others, which led to numerous conflicts."
"1","4","Anna always had a heart on her sleeve, helping everyone who found themselves in need."
"2","4","It is visible that he has a heart on his sleeve, because he always shares what he has with others."
"3","4","His kindness and willingness to help show that he truly wears his heart on his sleeve."
"28","5","Marek always wins in competitions, he must really be born lucky."
"29","5","When Karolina found her dream job right after graduation, everyone said she was born lucky."
"30","5","Janek was so lucky in life that his friends joked that he must have been born with a horseshoe on his head."
"37","6","An unexpected question threw him off track during an important presentation."
"38","6","A sudden change of plans completely threw her off track and she didn't know what to do next."
"39","6","The sight of an old friend after years caught me off guard and I couldn't squeeze out a word."
"55","7","During the education system reform, we must be careful not to throw out the baby with the bathwater and not to get rid of valuable elements of the current program."
"56","7","Trying to improve the team's performance, the boss changed all procedures, but unfortunately threw the baby out with the bathwater, losing experienced employees."
"57","7","When we decided to update our product, we were afraid of throwing out the baby with the bathwater and losing its key features that customers loved."
"58","8","During the conversation about the past, I accidentally hit a sensitive spot, which made the atmosphere tense."
"59","8","Criticism of his work hit a sensitive spot, triggering an immediate defensive reaction."
"60","8","When she mentioned his former friend, she accidentally hit a sensitive spot, which she did not intend to do."
"19","9","During a boring math class, Janek started daydreaming, imagining himself as an astronaut."
"20","9","Kasia often daydreams instead of focusing on her work duties."
"21","9","When Marta is daydreaming, her friends always wonder what she is thinking so intensely about."
"43","10","When Marek needed help, he knew he could go to Ania like a shot, because she always had time for him."
"44","10","When the boss announced that he needed volunteers for a new project, Ela immediately stepped forward, hoping for new experiences."
"45","10","Children can always go to their grandmother like a shot, because they know they will find understanding and a warm welcome there."
"34","11","Ania always had her head on her shoulders, so she quickly found a solution to this complicated problem."
"35","11","In difficult situations, it's good to have someone by your side who has a head on their shoulders and can keep calm."
"36","11","Janek, although young, has a head on his shoulders and can make wise business decisions."
"13","12","In the team, she always plays first fiddle, leading all projects and decisions."
"14","12","At the board meeting, the company's president took the lead, determining the direction of future actions."
"15","12","In this family, it is the grandmother who takes the lead, taking care of all matters and making the most important decisions."
"25","13","During the art class, it turned out that Ania has two left hands, because her sculpture was completely shapeless."
"26","13","When Krzysiek tried to fix the faucet, everyone quickly realized that he has two left hands."
"27","13","Zosia always says that she has two left hands when she needs to sew or mend something."
"10","14","Piotr is a man who has eaten bread from many ovens, that's why he handles difficult situations so well."
"11","14","Anna, by eating bread from many ovens, has learned to adapt to different work conditions."
"12","14","Marek has eaten bread from many ovens, so his professional experience is extremely impressive."
"22","15","The project that we started last year, unfortunately, is lying fallow and waiting for better times."
"23","15","Despite having all the necessary materials, our vegetable garden has been lying fallow for several seasons."
"24","15","The library full of interesting books has been neglected since we started using e-books."
"31","16","Marek promised his partner the golden mountains, and then he tricked him by signing a disadvantageous contract."
"32","16","During online shopping, you have to be careful not to be ripped off by dishonest sellers."
"33","16","Ania was sure that she had found the perfect language course, but it turned out that the organizers just fooled her and tried to rip her off."
"52","17","Despite the fact that Janek rarely spares himself and leads an intense lifestyle, he has always had excellent health and never complained about illnesses."
"53","17","My grandmother is as strong as a horse because at the age of eighty she still works in the garden and has no health problems."
"54","17","When everyone in the office was sick, Ania was the only one who didn't get sick because she always had the health of a horse."
"49","18","You can't trust people who constantly throw words to the wind, promising things they have no intention of keeping."
"50","18","During negotiations, it is important not to throw words to the wind, but to stick to facts and specific agreements."
"51","18","He promised to take care of the project, but as usual, he threw his words to the wind and nothing came of it."
"16","19","Kasia was racking her brain over a difficult mathematical puzzle she got in class."
"17","19","For a week now, Marek has been racking his brains over a project at work because he can't find the right solution."
"18","19","After pondering over the choice of a gift for Ania, I finally decided on a book."
"40","20","During the business meeting, I had to bite my tongue to not reveal our competition's plans."
"41","20","Kasia knows about the birthday surprise for Ania, but she promised to keep her lips sealed so as not to spoil the surprise."
"42","20","Janek was so upset that it was hard for him to keep his tongue in check and not say what he really thought about the whole situation."
