"phrase_id","idiom_id","phrase"
"28","1","Utrata tej pracy okazała się błogosławieństwem w przebraniu, ponieważ zmusiła mnie do podążania za moją prawdziwą pasją"
"29","1","Opóźnienie w naszej podróży okazało się błogosławieństwem w przebraniu, ponieważ uniknęliśmy burzy, która nawiedziła ten obszar"
"30","1","Początkowo jej kontuzja wydawała się nieszczęśliwa, ale w rzeczywistości okazało się błogosławieństwem, ponieważ pozwoliła jej odkryć nowe hobby, które kocha"
"76","2","W mieście kawiarni jest mnóstwo, a każda z nich oferuje własną, wyjątkową mieszankę"
"77","2","Jeśli chodzi o influencerów w mediach społecznościowych, jest ich całe mnóstwo, ale tylko nieliczni wyróżniają się autentycznymi treściami"
"78","2","Tanie pamiątki w miejscach turystycznych są na porządku dziennym, przez co trudno znaleźć coś naprawdę wyjątkowego"
"79","3","Zamiast kręcić się w kółko, po prostu powiedz mi, co naprawdę myślisz o tej propozycji"
"80","3","Podczas spotkania cały czas kręciła się wokół tematu, unikając głównego zagadnienia, którym musieliśmy się zająć"
"81","3","Chciałbym, żeby nie owijał w bawełnę i po prostu udzielił nam konkretnej odpowiedzi na temat harmonogramu projektu"
"1","4","Po latach odkładania tego na później w końcu ukończył pisanie swojej powieści, udowadniając, że lepiej późno niż wcale"
"2","4","W końcu przeprosiła przyjaciółkę za swój błąd, pokazując, że lepiej późno niż wcale"
"3","4","W końcu wdrożyli długo oczekiwaną zmianę polityki i wszyscy zgodzili się, że lepiej późno niż wcale"
"46","5","Pomimo strachu przed lataniem John musiał przełamać się i wsiąść do samolotu, aby odbyć ważną podróż służbową"
"47","5","Po miesiącach unikania dentysty w końcu zdecydowała się przełamać i umówić na wizytę"
"48","5","Zdając sobie sprawę, że nie może już dłużej unikać konfrontacji, Mark wziął głęboki oddech i przełamał się, zanim wszedł na salę konferencyjną"
"13","6","Przed wielkim przesłuchaniem przyjaciele Sarah zebrali się wokół niej i powiedzieli: „Połamania nóg!”, życząc jej powodzenia"
"14","6","Gdy w wieczór otwarcia podniosła się kurtyna, reżyser szepnął do obsady: „Połamcie nogi, wszyscy!”"
"15","6","Przed ostatnim meczem sezonu trener nakazał swojej drużynie złamanie nogi na boisku"
"91","7","Po dziesięciu godzinach intensywnych negocjacji zespół zdecydował się zakończyć dzień i wznowić pracę jutro"
"92","7","Widząc zachód słońca nad horyzontem, wędrowcy zgodzili się, że nadszedł czas, aby zakończyć dzień i wrócić na kemping"
"93","7","Kiedy ostatnie naczynia zostały umyte, a kuchnia była nieskazitelnie czysta, Maria była na tyle usatysfakcjonowana, że mogła zakończyć dzień"
"31","8","Po całym tygodniu pracy po godzinach jej szef postanowił dać jej trochę luzu i pozwolić jej wyjść wcześniej w piątek"
"32","8","Nauczycielka dała mu trochę luzu w kwestii terminu oddania pracy, bo wiedziała, że ma do czynienia z sytuacją awaryjną w rodzinie"
"33","8","Pomimo jego błędów, przyjaciele okazali mu wyrozumiałość, rozumiejąc, że przechodzi przez trudny okres"
"94","9","Wykonawcę zwolniono, ponieważ oszczędzał na kosztach i narażał na szwank bezpieczeństwo budynku"
"95","9","Próbując dotrzymać terminu, zespół zaczął oszczędzać, co zaowocowało produktem poniżej standardów"
"96","9","Jeśli chodzi o jakość, nasza firma ma surową politykę nieograniczania kosztów, zapewniając naszym klientom tylko to, co najlepsze"
"64","10","Podnosząc ciężką, starą szafę, przypomniałem wszystkim, że należy zachować ostrożność, aby uniknąć uszkodzeń"
"65","10","Podczas szkolenia młodego szczeniaka pamiętaj, że łatwo jest zapewnić mu komfort i bezpieczeństwo"
"66","10","Gdy zaczęliśmy malować skomplikowane obrazy, artysta doradził nam, aby łatwo uzyskać idealne połączenie kolorów"
"73","11","Impreza zaczęła wymykać się spod kontroli, gdy pojawili się nieproszeni goście, a muzyka zaczęła grać na cały regulator"
"74","11","Jeśli nie zajmiemy się tymi problemami teraz, sytuacja może wyjść spod kontroli i stać się niemożliwa do opanowania"
"75","11","Sytuacja w klasie zaczęła wymykać się spod kontroli, gdy nauczyciel na chwilę wyszedł"
"55","12","Po tygodniach rozmów o wycieczce w końcu zdecydowała się ją zarezerwować i wyrzucić to z pamięci"
"56","12","Spędził cały weekend na malowaniu garażu, mając nadzieję, że w ten sposób pozbędzie się nadmiaru twórczej energii"
"57","12","Wybrała się na długi bieg, aby pozbyć się stresu dnia"
"43","13","Po tym, jak nie dotrzymał kilku terminów, kierownik powiedział mu, że musi się wziąć w garść, jeśli chce zachować pracę"
"44","13","Zdała sobie sprawę, że musi wziąć się w garść, gdy przez złe planowanie prawie spóźniła się na lot"
"45","13","W obliczu zbliżającej się ważnej prezentacji niezwykle ważne jest, aby zespół zebrał się w sobie i dopracował wszystkie szczegóły"
"67","14","Mimo że wyjaśnienie wydawało się mało prawdopodobne, postanowiłem dać jej szansę i uwierzyć w jej historię"
"68","14","Kiedy John stwierdził, że ma pilną sprawę rodzinną, jego szef postanowił dać mu szansę i pozwolić mu wyjść wcześniej"
"69","14","Pomimo plotek, dała mu szansę, dopóki nie poznała wszystkich faktów"
"109","15","Po tym, jak prototyp nie przeszedł testów bezpieczeństwa, zespół inżynierów nie miał innego wyjścia, jak wrócić do deski kreślarskiej"
"110","15","Kampania marketingowa nie spotkała się z uznaniem odbiorców, dlatego firma postanowiła wrócić do deski kreślarskiej i opracować nową strategię"
"111","15","Gdy aktualizacja oprogramowania spowodowała więcej problemów niż rozwiązała, programiści musieli wrócić do deski kreślarskiej, aby rozwiązać problemy"
"97","16","Mimo że projekt napotkał wiele niepowodzeń, kierownik zachęcił zespół do wytrwania, aż doprowadzą go do końca"
"98","16","Kiedy Sarah przechodziła przez trudny okres w trakcie egzaminów, jej przyjaciele powiedzieli jej, żeby się nie poddawała i obiecali, że nadejdą lepsze dni"
"99","16","Pomimo sztormowej pogody i długich dni na morzu kapitan przypomniał swojej załodze, aby wytrwała do momentu dotarcia do brzegu"
"25","17","Po długim dniu wędrówki byłem gotowy położyć się spać i trochę odpocząć"
"26","17","Myślę, że pójdę spać wcześniej dziś wieczorem, bo rano mam ważną prezentację"
"27","17","Po zakończeniu filmu Sarah postanowiła położyć się spać, ponieważ musiała wcześnie wstać do pracy"
"22","18","Montaż tej półki nie jest trudny, wystarczy postępować zgodnie z instrukcją, a wszystko będzie dobrze"
"23","18","Przygotowanie prostego dania z makaronem nie jest niczym trudnym, każdy może to zrobić, mając odrobinę praktyki"
"24","18","Efektywne zarządzanie czasem nie jest niczym trudnym, wymaga jedynie odrobiny planowania i dyscypliny"
"37","19","Po uświadomieniu sobie, że to jej wina, menadżer postanowił odpuścić Tomowi"
"38","19","Nauczyciel uwolnił uczniów od odpowiedzialności za nieodrobienie prac domowych z powodu przerwy w dostawie prądu"
"39","19","Pomimo dowodów, decyzja ławy przysięgłych uwolniła oskarżonego od odpowiedzialności"
"100","20","Po tym, jak się zgubiliśmy i zabrakło nam benzyny, żeby skrócić długą historię, w końcu dotarliśmy na ślub tuż przed złożeniem przysięgi małżeńskiej"
"101","20","Spotkanie ciągnęło się godzinami, ale żeby streścić całą historię, postanowiliśmy przełożyć projekt na następny kwartał"
"102","20","Krótko mówiąc, po miesiącach poszukiwań pracy udało jej się zdobyć wymarzoną posadę w firmie technologicznej w centrum miasta"
"34","21","Jeśli nie złożysz wniosku dzisiaj, możesz stracić szansę na otrzymanie stypendium"
"35","21","Zbyt długo wahał się, zanim zaprosił ją na bal maturalny, i teraz martwi się, że mógł przegapić okazję"
"36","21","Kiedy zdecydowała się zainwestować w firmę, przegapiła już okazję, ponieważ ceny akcji gwałtownie wzrosły"
"40","22","Bez bólu nie ma efektów – to powtarza sobie za każdym razem, gdy kończy ostatnią serię ćwiczeń"
"41","22","Przypomniał swoim studentom, że bez bólu nie ma korzyści, jeśli intensywnie uczymy się do nadchodzących egzaminów"
