id, "Zwiazki frazeologiczne" 
1, "mieć muchy w nosie" 
2, "rzucać grochem o ścianę" 
3, "kopać pod kimś dołki" 
4, "mieć serce na dłoni" 
5, "być w czepku urodzonym" 
6, "zbić z tropu" 
7, "wylać dziecko z kąpielą" 
8, "uderzyć w czuły punkt" 
9, "bujać w obłokach" 
10, "iść jak w dym" 
11, "mieć głowę na karku" 
12, "grać pierwsze skrzypce" 
13, "mieć dwie lewe ręce" 
14, "z niejednego pieca chleb jeść" 
15, "leżeć odłogiem" 
16, "nabić kogoś w butelkę" 
17, "mieć końskie zdrowie" 
18, "rzucać słowa na wiatr" 
19, "łamać sobie głowę" 
20, "trzymać język za zębami"
