"phrase_id","idiom_id","phrase"
"28","1","Utrata tej pracy okazała się błogosławieństwem w zamachu, jak to skłoniło mnie do dążenia do mojej prawdziwej pasji"
"29","1","Zwłoka w naszej podróży była błogosławieństwem w zamachu, ponieważ uniknęliśmy burzy, która uderzyła w okolicę"
"30","1","Jej uraz na początku wydawał się nieszczęśliwy, ale to było błogosławieństwo w zamachu, ponieważ doprowadziło ją do odkrycia nowego hobby kocha"
"76","2","W mieście, kawiarnie są tuż po kilkunastu, każdy oferując swój własny unikalny miks"
"77","2","Jeśli chodzi o wpływowców mediów społecznościowych, są ich tuzina, ale tylko kilka wyróżniają się prawdziwym treścią"
"78","2","Tanie pamiątki w obszarach turystycznych są tuż po kilkunastu, co sprawia, że trudno znaleźć coś naprawdę wyjątkowego"
"79","3","Zamiast bić wokół bush, powiedz mi, co naprawdę myślisz o wniosku"
"80","3","Podczas spotkania, ona nadal bić wokół bush, unikając głównego problemu, który musieliśmy rozwiązać"
"81","3","Chciałbym, aby nie bić wokół bush i po prostu dać nam prosty odpowiedź na temat projektu harmonogram"
"1","4","Po latach odkładania, w końcu skończył pisać swój romans, dowodząc, że lepiej późno niż nigdy"
"2","4","Ostatecznie przeprosiła swojego przyjaciela o błąd, pokazując, że lepiej późno niż nigdy"
"3","4","W końcu wdrożyli długo oczekiwaną zmianę polityki i wszyscy zgodzili się, że lepiej późno niż nigdy"
"46","5","Pomimo strachu z lotu, John musiał poścignąć kulkę i zasiąść na pokładzie samolotu na ważnej podróży służbowej"
"47","5","Po miesiącach unikania stomatologa, w końcu zdecydowała się bić kulę i zaplanować wizytę"
"48","5","Uświadamiając sobie, że już nie może uniknąć konfrontacji, Mark podniósł głęboki oddech i pościł kulę, zanim wszedł do sali spotkań"
"13","6","Przed wielkim przesłuchaniem, przyjaciele Sary zebrali się wokół niej i powiedział, ""Break a leg!"", aby pogratulować jej szczęścia"
"14","6","Gdy zasłona wznosiła się w nocy otwarcia, reżyser zaszyfrował do obsady: ""Break a leg, everyone!"""
"15","6","Kierując się do finału sezonu, trener powiedział swoim zespołowi, aby przerwać nogę na boisku"
"91","7","Po dziesięciu godzinach intensywnych negocjacji, zespół zdecydował się nazwać go dzień i wznowić jutro"
"92","7","Widząc, że słońce zapada nad horyzontem, wędrowcy zgodzili się, że nadszedł czas, aby nazwać go dniem i wrócić na kemping"
"93","7","Z ostatniego posiłku umyte i kuchnia bez plam, Maria czuła się wystarczająco zadowolony, aby nazwać go dzień"
"31","8","Po pracy nad godzinami przez cały tydzień, jej szef postanowił zmniejszyć jej trochę wolność i pozwolić jej opuścić wczesnym piątek"
"32","8","Nauczyciel uciążył mu trochę czasu na termin pracy, ponieważ wiedziała, że ma do czynienia z kryzysem rodzinnym"
