"phrase_id","idiom_id","phrase"
"28","1","Utracić tę pracę okazało się być błogosławieństwem w przebraniu, ponieważ zmotywowało mnie to do podążania za prawdziwą pasją."
"29","1","Opóźnienie naszej podróży okazało się szczęściem w nieszczęściu, ponieważ uniknęliśmy burzy, która uderzyła w ten obszar."
"30","1","Jej kontuzja początkowo wydawała się nieszczęściem, ale okazała się błogosławieństwem w przebraniu, ponieważ doprowadziła ją do odkrycia nowego hobby, które pokochała."
"76","2","W mieście kawiarnie są na każdym rogu, a każda oferuje własną, unikalną mieszankę."
"77","2","Jeśli chodzi o influencerów mediów społecznościowych, jest ich jak mrówków, ale tylko nieliczni wyróżniają się autentyczną treścią."
"78","2","Tanie pamiątki w turystycznych okolicach są na pęczki, przez co trudno znaleźć coś naprawdę wyjątkowego."
"79","3","Zamiast owijać w bawełnę, po prostu powiedz mi, co naprawdę myślisz o tej propozycji."
"80","3","Podczas spotkania ciągle owijała w bawełnę, unikając głównego problemu, który musieliśmy rozwiązać."
"81","3","Żałuję, że nie przechodzi od razu do sedna i po prostu nie podaje nam jasnej odpowiedzi na temat harmonogramu projektu."
"1","4","Po latach odkładania w końcu skończył pisać swoją powieść, potwierdzając, że lepiej późno niż wcale."
"2","4","W końcu przeprosiła swoją przyjaciółkę za błąd, pokazując, że lepiej późno niż wcale."
"3","4","W końcu wdrożyli długo wyczekiwaną zmianę polityki i wszyscy zgodzili się, że lepiej późno niż wcale."
"46","5","Mimo strachu przed lataniem, John musiał zacisnąć zęby i wsiąść do samolotu na ważną podróż służbową."
"47","5","Po miesiącach unikania dentysty, w końcu zdecydowała się zacisnąć zęby i umówić na wizytę."
"48","5","Zdając sobie sprawę, że nie może już dłużej unikać konfrontacji, Mark wziął głęboki oddech i wziął byka za rogi, zanim wszedł do sali konferencyjnej."
"13","6","Przed ważnym przesłuchaniem przyjaciele Sary zebrali się wokół niej i powiedzieli: ""Połamania nóg!"", żeby życzyć jej powodzenia."
"14","6","Gdy kurtyna poszła w górę w noc premiery, reżyser szepnął do obsady: ""Połamania nóg, wszystkim!""."
"15","6","Wchodząc w ostatni mecz sezonu, trener powiedział swojemu zespołowi, aby połamali nogi na boisku."
"91","7","Po dziesięciu godzinach intensywnych negocjacji zespół postanowił zakończyć na dziś i wznowić jutro."
"92","7","Widząc zachód słońca nad horyzontem, turyści uznali, że pora zakończyć dzień i wrócić do obozowiska."
"93","7","Z ostatnią umytą naczą i nieskazitelnie czystą kuchnią Maria poczuła się na tyle zadowolona, że uznała, iż to koniec dnia."
"31","8","Po tym, jak cały tydzień pracowała po godzinach, jej szef postanowił odpuścić jej trochę i pozwolił wyjść wcześniej w piątek."
"32","8","Nauczyciel darował mu trochę luzu z terminem zadania, bo wiedziała, że ma do czynienia z nagłym wypadkiem w rodzinie."
"33","8","Mimo jego błędów, przyjaciele puszczali mu płazem, rozumiejąc, że przechodził trudny okres."
"94","9","Wykonawca został zwolniony, ponieważ oszczędzał na kosztach i narażał bezpieczeństwo budynku."
"95","9","W próbie dotrzymania terminu zespół zaczął iść na skróty, co skutkowało produktem słabej jakości."
"96","9","Jeśli chodzi o jakość, nasza firma ma surową politykę przeciwko oszczędzaniu na jakości, gwarantując klientom tylko to, co najlepsze."
"64","10","Gdy podnosiliśmy ciężką antyczną szafę, przypomniałem wszystkim, że trzeba ostrożnie, aby nic nie uszkodzić."
"65","10","Szkoląc szczeniaka, pamiętaj, by działać spokojnie, aby czuł się komfortowo i bezpiecznie."
"66","10","Gdy tylko zaczęliśmy skomplikowane malowanie, artysta poradził nam, że ostrożnie i powoli osiągniemy idealne połączenie kolorów."
"73","11","Impreza zaczęła wymykać się spod kontroli, gdy pojawili się nieproszeni goście, a muzyka rozbrzmiewała w pełni."
"74","11","Jeśli nie zajmiemy się tymi problemami teraz, sytuacja może wymknąć się spod kontroli i stać się nie do opanowania."
"75","11","Klasa zaczęła wymykać się spod kontroli, gdy nauczyciel na chwilę wyszedł."
"55","12","Po tygodniach rozmów o tej podróży, zdecydowała się w końcu ją zarezerwować i mieć to z głowy."
"56","12","Spędził cały weekend malując garaż, mając nadzieję, że wyrzuci z siebie kreatywną energię."
"57","12","Poszła na długi bieg, żeby pozbyć się stresu po całym dniu."
"43","13","Po tym, jak wielokrotnie przekraczał terminy, kierownik powiedział mu, że musi wziąć się w garść, jeśli chce utrzymać pracę."
"44","13","Zdała sobie sprawę, że musi wziąć się w garść, gdy przez kiepskie planowanie prawie spóźniła się na samolot."
"45","13","Z nadchodzącą ważną prezentacją, kluczowe jest, aby zespół wziął się w garść i dopracował wszystkie szczegóły."
"67","14","Mimo że wyjaśnienie wydawało się mało prawdopodobne, postanowiłem dać jej kredyt zaufania i uwierzyć w jej historię."
