"phrase_id","idiom_id","phrase"
"28","1","Utrata tej pracy okazała się błogosławieństwem w przebraniu, ponieważ popchnęła mnie do realizacji mojej prawdziwej pasji"
"29","1","Opóźnienie w naszej podróży było błogosławieństwem w przebraniu, ponieważ uniknęliśmy burzy, która uderzyła w okolicy"
"30","1","Jej uraz wydawał się niefortunny na początku, ale był błogosławieństwem w przebraniu, ponieważ doprowadził ją do odkrycia nowego hobby, które kocha"
"76","2","W mieście jest kilkanaście kawiarni, z których każda oferuje swoją unikalną mieszankę"
"77","2","Jeśli chodzi o influencerów w mediach społecznościowych, jest ich kilkanaście, ale tylko kilka wyróżnia się oryginalnymi treściami"
"78","2","Tanie pamiątki w obszarach turystycznych są dziesięć złotych na tuzin, co utrudnia znalezienie czegoś naprawdę wyjątkowego"
"79","3","Zamiast owijać w bawełnę, powiedz mi, co naprawdę myślisz o tej propozycji."
"80","3","Podczas spotkania ciągle omijała temat, unikając głównego problemu, którym musieliśmy się zająć."
"81","3","Chciałbym, żeby nie omijał kwestii i dał nam prostą odpowiedź na temat harmonogramu projektu."
"1","4","Po latach odkładania, w końcu skończył pisać swoją powieść, udowadniając, że lepiej późno niż wcale"
"2","4","W końcu przeprosiła za swój błąd do swojego przyjaciela, pokazując, że lepiej późno niż wcale"
"3","4","Wreszcie wdrożyli długo oczekiwaną zmianę polityki i wszyscy zgodzili się, że lepiej późno niż wcale"
"46","5","Pomimo strachu przed lataniem, John musiał ugryźć kulę i wsiąść do samolotu na ważną podróż służbową"
"47","5","Po miesiącach unikania dentysty, w końcu zdecydowała się ugryźć kulę i umówić się na wizytę"
"48","5","Zdając sobie sprawę, że nie może dłużej unikać konfrontacji, Mark wziął głęboki oddech i ugryzł kulkę przed wejściem do sali konferencyjnej."
"13","6","Przed wielkim przesłuchaniem przyjaciele Sary zebrali się wokół niej i powiedzieli: ""Złamaj nogę!"", Aby życzyć jej powodzenia"
"14","6","Kiedy w nocy premiery podniosła się kurtyna, reżyser szepnął do obsady: ""Złamać nogę, wszyscy!"""
"15","6","Przechodząc do ostatniego meczu sezonu, trener powiedział swojej drużynie, aby złamała nogę na boisku"
"91","7","Po dziesięciu godzinach intensywnych negocjacji, zespół postanowił nazwać to dzień i wznowić jutro"
"92","7","Widząc słońce zachodzące nad horyzontem, wędrowcy zgodzili się, że nadszedł czas, aby nazwać to dniem i udać się z powrotem na kemping"
"93","7","Z ostatnim umytym naczyniem i kuchnią nieskazitelną, Maria czuła się na tyle zadowolona, by nazwać to dniem"
"31","8","Po pracy w nadgodzinach przez cały tydzień, jej szef postanowił wyciąć jej trochę luzu i pozwolić jej wyjść wcześnie w piątek"
"32","8","Nauczycielka wycięła mu trochę luzu w terminie zadania, bo wiedziała, że ma do czynienia z rodzinnym kryzysem"
"33","8","Pomimo swoich błędów, jego przyjaciele wycięli mu trochę luzu, rozumiejąc, że przechodzi przez trudny czas"
"94","9","Wykonawca został zwolniony, ponieważ tnie narożniki i naraża na szwank bezpieczeństwo budynku"
"95","9","Próbując dotrzymać terminu, zespół zaczął ciąć narożniki, co spowodowało, że produkt nie spełniał oczekiwań."
"96","9","Jeśli chodzi o jakość, nasza firma ma ścisłą politykę przeciwko cięciu narożników, zapewniając naszym klientom tylko to, co najlepsze"
"64","10","Kiedy podnosiliśmy ciężką antyczną szafkę, przypomniałem wszystkim, jak łatwo jest uniknąć jakichkolwiek uszkodzeń"
"65","10","Podczas szkolenia młodego szczeniaka, pamiętaj, że łatwo sprawia, że czuje się komfortowo i bezpiecznie"
"66","10","Kiedy zaczęliśmy skomplikowane malowanie, artysta poinformował nas, że łatwo jest osiągnąć idealne połączenie kolorów"
"73","11","Impreza zaczęła wymykać się spod kontroli, gdy pojawili się nieproszeni goście, a muzyka była wybuchowa"
"74","11","Jeśli nie zajmiemy się teraz tymi kwestiami, sytuacja może wymknąć się spod kontroli i stać się niemożliwa do opanowania."
"75","11","Klasa zaczęła wymykać się spod kontroli, kiedy nauczyciel wyszedł na chwilę"
"55","12","Po tygodniach rozmów o podróży, postanowiła w końcu zarezerwować ją i wydostać się z jej systemu"
"56","12","Spędził cały weekend malując garaż, mając nadzieję, że uzyska swoją twórczą energię z jego systemu"
"57","12","Poszedł na długi bieg, aby uzyskać stres z dnia z jej systemu"
"43","13","Po przegapieniu wielu terminów, menedżer powiedział mu, aby zebrać się razem, jeśli chce zachować swoją pracę"
"44","13","Zdała sobie sprawę, że musiała zebrać się razem, gdy prawie straciła lot z powodu złego planowania"
"45","13","Zbliżając się do wielkiej prezentacji, kluczowe jest, aby zespół zebrał się razem i sfinalizował wszystkie szczegóły"
"67","14","Mimo że wyjaśnienie wydawało się mało prawdopodobne, postanowiłem dać jej korzyść z wątpliwości i uwierzyć jej historii."
"68","14","Kiedy John twierdził, że ma nagły wypadek rodzinny, jego szef postanowił dać mu korzyść z wątpliwości i pozwolił mu wyjść wcześniej"
"69","14","Pomimo plotek, dała mu korzyść z wątpliwości, dopóki nie miała wszystkich faktów"
"109","15","Po tym, jak prototyp nie przeszedł testów bezpieczeństwa, zespół inżynierów nie miał innego wyboru, jak wrócić do deski kreślarskiej"
"110","15","Kampania marketingowa nie odbiła się echem wśród odbiorców, więc firma zdecydowała się wrócić do planszy, aby wymyślić nową strategię"
"111","15","Kiedy aktualizacja oprogramowania spowodowała więcej problemów niż rozwiązała, programiści musieli wrócić do planszy, aby rozwiązać problemy"
"97","16","Mimo że projekt spotkał się z licznymi niepowodzeniami, kierownik zachęcił zespół do trzymania się tam, dopóki go nie przejrzą."
"98","16","Kiedy Sarah przechodziła przez ciężki czas podczas egzaminów, jej przyjaciele powiedzieli jej, aby się tam trzymała i obiecali lepsze dni"
"99","16","Pomimo burzliwej pogody i długich dni na morzu, kapitan przypomniał swojej załodze, aby trzymała się tam, aż dotrą do brzegu"
"25","17","Po długim dniu wędrówek, byłam gotowa uderzyć w worek i trochę odpocząć"
"26","17","Myślę, że pójdę spać wcześnie dziś wieczorem, bo rano mam dużą prezentację."
"27","17","Gdy film się skończył, Sarah postanowiła uderzyć w worek, ponieważ musiała wstać wcześnie do pracy"
"22","18","Montaż tej półki na książki nie jest nauką o rakietach, po prostu postępuj zgodnie z instrukcjami, a wszystko będzie dobrze"
"23","18","Gotowanie prostego dania z makaronem nie jest nauką o rakietach, każdy może to zrobić z odrobiną praktyki"
"24","18","Efektywne zarządzanie czasem nie jest nauką o rakietach, wymaga tylko planowania i dyscypliny"
"37","19","Po uświadomieniu sobie, że pomieszanie było jej winą, menedżer postanowił puścić Toma z hakiem"
"38","19","Nauczyciel puścił uczniów z hakiem za niedokończenie pracy domowej z powodu przerwy w dostawie prądu"
"39","19","Pomimo dowodów, decyzja ławy przysięgłych pozwoliła oskarżonemu na ucieczkę"
"100","20","Po zgubieniu się i skończeniu gazu, aby skrócić długą historię, w końcu dotarliśmy na wesele w sam raz na śluby"
"101","20","Spotkanie ciągnęło się godzinami, ale krótko mówiąc, zdecydowaliśmy się przełożyć projekt na następny kwartał."
"102","20","Krótko mówiąc, po miesiącach poszukiwań pracy, znalazła wymarzoną pracę w firmie technologicznej w centrum miasta."
"34","21","Jeśli nie złożysz wniosku już dziś, możesz przegapić możliwość uzyskania stypendium."
"35","21","Zbyt długo się wahał, zanim zaprosił ją na bal, a teraz martwi się, że może przegapić łódź"
"36","21","W momencie, gdy zdecydowała się zainwestować w firmę, straciła już szansę, ponieważ ceny akcji gwałtownie wzrosły."
"40","22","Bez bólu, bez zysku jest to, co mówi sobie za każdym razem, gdy przechodzi przez ostatni zestaw treningu"
"41","22","Przypomniał swoim uczniom, że nie ma bólu, nie ma zysku w ciężkiej nauce na nadchodzące egzaminy."
"42","22","Motto trenera, bez bólu, bez zysku, zmotywowało zespół do cięższego treningu niż kiedykolwiek wcześniej"
"10","23","Pomimo napiętego terminu, Maria była na piłkę i złożyła raport wcześnie"
"11","23","Przy tak wielu nieprzewidywalnych zmianach na rynku kluczowe jest, aby doradca finansowy był na bieżąco"
"12","23","Szybka reakcja Jacka na nieoczekiwany problem pokazała wszystkim, że naprawdę był na piłkę"
"4","24","Myślałem, że poważnie myślał o wygranej na loterii, ale okazuje się, że tylko ciągnął moją nogę"
"5","24","Kiedy powiedziała mi, że potrafi mówić w siedmiu językach, wiedziałem, że ciągnie moją nogę"
"6","24","Lubi ciągnąć za nogę brata, opowiadając mu oburzające historie"
"16","25","Po otrzymaniu rozczarowującej wiadomości wzięła głęboki oddech i zdecydowała, że nadszedł czas, aby zebrać się razem i iść naprzód"
"17","25","Pomimo chaosu wokół niego, wiedział, że musi się zebrać, aby poprowadzić swój zespół przez kryzys"
"18","25","Czując się przytłoczony obciążeniem pracą, wyszedł na chwilę na zewnątrz, aby zebrać myśli i zebrać się razem, zanim wrócił do biurka."
"58","26","Byliśmy w drodze przez pięć godzin bez żadnych problemów; do tej pory tak dobrze"
"59","26","Termin realizacji projektu zbliża się, a zespół jest na dobrej drodze; do tej pory tak dobrze"
"60","26","Trzymam się mojej nowej diety od tygodnia i czuję się świetnie; do tej pory tak dobrze"
"88","27","Po prostu rozmawialiśmy o tym, że nie widzieliśmy Toma od wieków, a mówiąc o diabłu, wszedł do drzwi"
"89","27","Opowiadałem Sarze o polityce nowego menedżera, kiedy, mówiąc o diabłu, dołączył do naszego spotkania niespodziewanie."
"90","27","Kiedy plotkowaliśmy o jej osobliwych wyborach mody, mówiąc o diabłu, weszła do biura w neonowym zielonym kapeluszu"
"82","28","Po miesiącach ciągłych opóźnień i nieporozumień ze strony wykonawcy, złamane okno było ostatnią kroplówką dla Emily"
"83","28","Tim był cierpliwy ze swoimi hałaśliwymi sąsiadami, ale kiedy zorganizowali kolejną głośną imprezę w nocy powszedniej, była to ostatnia kropla."
"84","28","Kiedy menedżer ogłosił kolejną cięcie wynagrodzeń, to była ostatnia kropla, a pracownicy postanowili zorganizować strajk"
"52","29","Mieszkanie w mieście, ale posiadanie domu na wsi pozwala jej cieszyć się tym, co najlepsze z obu światów"
"53","29","Pracując zdalnie dla firmy z siedzibą w Paryżu, zyskuje to, co najlepsze z obu światów: międzynarodową karierę bez wychodzenia z rodzinnego miasta"
"54","29","Dzięki swojemu hybrydowemu samochodowi otrzymuje to, co najlepsze z obu światów: wydajność energii elektrycznej i zasięg silnika benzynowego"
"103","30","Spędziliśmy całe popołudnie grając w gry i rozmawiając, i zanim się zorientowaliśmy, czas leci, gdy dobrze się bawisz"
"104","30","Na spotkaniu rodzinnym byliśmy tak zajęci nadrabianiem zaległości i śmiechem, że czas leci, gdy dobrze się bawisz"
"105","30","Podczas naszych wakacji, każdy dzień wydawał się przejść w mgnieniu oka, ponieważ czas leci, gdy dobrze się bawisz"
"85","31","Kiedy ostateczny termin projektu został przesunięty o tydzień, Sarah straciła formę z powodu niespodziewanej zmiany"
"86","31","Eddie ma tendencję do wyginania się z kształtu, gdy ktoś sugeruje nowy sposób robienia rzeczy"
"87","31","Nie ma potrzeby wyginania się z powodu małego błędu; możemy go łatwo naprawić"
"106","32","Sarah była już spóźniona na spotkanie, a co gorsza, zdała sobie sprawę, że zostawiła swoje notatki prezentacyjne w domu"
