phrase_id,idiom_id,model,result
28,1,argos-translate,1
29,1,argos-translate,1
30,1,argos-translate,1
64,10,argos-translate,0
65,10,argos-translate,0
66,10,argos-translate,0
73,11,argos-translate,0
74,11,argos-translate,1
75,11,argos-translate,1
55,12,argos-translate,0
56,12,argos-translate,0
57,12,argos-translate,0
43,13,argos-translate,1
44,13,argos-translate,1
45,13,argos-translate,1
67,14,argos-translate,0
68,14,argos-translate,1
69,14,argos-translate,0
109,15,argos-translate,0
110,15,argos-translate,0
111,15,argos-translate,1
97,16,argos-translate,0
98,16,argos-translate,1
99,16,argos-translate,0
25,17,argos-translate,0
26,17,argos-translate,1
27,17,argos-translate,1
22,18,argos-translate,1
23,18,argos-translate,1
24,18,argos-translate,1
37,19,argos-translate,1
38,19,argos-translate,1
39,19,argos-translate,0
76,2,argos-translate,0
77,2,argos-translate,0
78,2,argos-translate,0
100,20,argos-translate,0
101,20,argos-translate,1
102,20,argos-translate,1
34,21,argos-translate,1
35,21,argos-translate,0
36,21,argos-translate,0
40,22,argos-translate,0
41,22,argos-translate,0
42,22,argos-translate,1
10,23,argos-translate,0
11,23,argos-translate,0
12,23,argos-translate,0
4,24,argos-translate,0
5,24,argos-translate,1
6,24,argos-translate,1
16,25,argos-translate,1
17,25,argos-translate,1
18,25,argos-translate,1
58,26,argos-translate,1
59,26,argos-translate,1
60,26,argos-translate,1
88,27,argos-translate,1
89,27,argos-translate,1
90,27,argos-translate,0
82,28,argos-translate,1
83,28,argos-translate,1
84,28,argos-translate,1
52,29,argos-translate,1
53,29,argos-translate,1
54,29,argos-translate,0
79,3,argos-translate,0
80,3,argos-translate,1
81,3,argos-translate,0
103,30,argos-translate,0
104,30,argos-translate,1
105,30,argos-translate,1
85,31,argos-translate,1
86,31,argos-translate,0
87,31,argos-translate,0
106,32,argos-translate,1
107,32,argos-translate,1
108,32,argos-translate,0
19,33,argos-translate,0
20,33,argos-translate,0
21,33,argos-translate,0
7,34,argos-translate,1
8,34,argos-translate,0
9,34,argos-translate,0
49,35,argos-translate,0
50,35,argos-translate,0
51,35,argos-translate,1
70,36,argos-translate,0
71,36,argos-translate,0
72,36,argos-translate,0
61,37,argos-translate,0
62,37,argos-translate,1
63,37,argos-translate,1
1,4,argos-translate,1
2,4,argos-translate,1
3,4,argos-translate,1
46,5,argos-translate,1
47,5,argos-translate,1
48,5,argos-translate,1
13,6,argos-translate,0
14,6,argos-translate,0
15,6,argos-translate,0
91,7,argos-translate,0
92,7,argos-translate,0
93,7,argos-translate,0
31,8,argos-translate,1
32,8,argos-translate,0
