"phrase_id","idiom_id","phrase"
"28","1","Stracenie tej pracy okazało się błogosławieństwem w ukryciu, ponieważ zmusiło mnie to do dążenia do mojej prawdziwej pasji"
"29","1","Po opóźnieniu podróży okazało się błogosławieństwem, bo uniknęliśmy burzy, która uderzyła w okolicę"
"30","1","Na początku jej uraz wydawał się nieszczęśliwy, ale był błogosławieństwem w przebraniu, ponieważ doprowadził ją do odkrycia nowego hobby, które kocha"
"76","2","W mieście kawiarnie są za dziesiątkę, każde oferuje swoją wyjątkową mieszankę"
"77","2","Jeśli chodzi o influencerów w mediach społecznościowych, to są tuzina, ale tylko kilku wyróżnia się prawdziwą treścią."
"78","2","Tanie pamiątki w miejscach turystycznych kosztują dziesięć centów, co utrudnia znalezienie czegoś wyjątkowego"
"79","3","Zamiast się bawić, powiedz mi, co naprawdę myślisz o tej propozycji."
"80","3","W trakcie spotkania ciągle się rozmawiała, unikając głównego tematu, który trzeba było rozmawiać."
"81","3","Chciałbym, żeby nie rozchodził się z tym i dał nam proste odpowiedzi na temat harmonogramu projektu."
"1","4","Po latach odroczenia, w końcu skończył pisać swoją powieść, udowodniając, że lepiej późno niż nigdy."
"2","4","W końcu przeprosiła przyjaciółkę o przebaczenie za swój błąd, pokazując, że lepiej późno niż nigdy"
"3","4","W końcu wdrożyli długo oczekiwaną zmianę polityki, i wszyscy zgodzili się, że lepiej późno niż nigdy."
"46","5","Mimo strachu przed lotem John musiał ugryźć kulę i wsiąść do samolotu na ważną podróż służbową"
"47","5","Po miesiącach unikając dentysty, w końcu postanowiła ugryźć kulę i zaplanować wizytę."
"48","5","Zdając sobie sprawę, że nie może dłużej uniknąć konfrontacji, Mark wziął głęboki oddech i ugryzł kulę, zanim wszedł do sali spotkań"
"13","6","Przed wielką audycją przyjaciele Sarah zebrali się wokół niej i powiedzieli: ""Złamać nogę!"" Żeby życzyć jej szczęścia"
"14","6","Gdy w nocy otwarcia podniosła się zasłona, reżyser szepnął do obsady: ""Złamajcie nogę, wszyscy!"""
"15","6","Wyruszając w ostatni mecz sezonu, trener kazał zespołowi złamać nogę na boisku."
"91","7","Po dziesięciu godzinach intensywnych negocjacji, zespół postanowił zakończyć i rozpocząć jutro."
"92","7","Widząc zachodzenie słońca nad horyzontem, turyści zgodzili się, że nadszedł czas, aby zakończyć ten dzień i wrócić na kemping"
"93","7","Z ostatnim myciem talerza i bez skazy kuchnia, Maria czuła się wystarczająco zadowolona, aby to nazwać dzień"
"31","8","Po tygodniowej pracy nadgodzinnej szef postanowił jej dać trochę czasu i pozwolić jej wyjść wcześnie w piątek"
"32","8","Nauczycielka trochę zwolniła termin zadania , bo wiedziała , że ma do czynienia z rodzinnym awarią ."
"33","8","Pomimo błędów, przyjaciele go zwolnili, wiedząc, że przechodzi trudne czasy."
"94","9","Wykonawca został zwolniony , bo cięł kąty i narażał bezpieczeństwo budynku ."
"95","9","W celu dotrzymania terminu, zespół zaczął cięć kąty, co doprowadziło do podwyższonego poziomu produktu."
"96","9","Jeśli chodzi o jakość, firma ma ścisłą politykę przeciw cięciu kątów, zapewniając tylko najlepsze dla naszych klientów"
"64","10","Kiedy podniosliśmy ciężką antykarnę, przypomniałem wszystkim, że łatwo jest uniknąć uszkodzenia."
"65","10","Trening młodego szczeniaka, pamiętaj, że łatwo robi to, aby czuć się komfortowo i bezpiecznie"
"66","10","Kiedy zaczęliśmy malować, artysta polecił nam, że łatwo jest osiągnąć idealną mieszankę kolorów."
"73","11","Zabawa zaczęła się wychodzić z ręki , kiedy pojawili się niezasłani goście i muzyka była wściekła ."
"74","11","Jeśli nie rozwiążemy problemów teraz, sytuacja może wymknąć się spod kontroli i stać się niewykonalna"
"75","11","W klasie zaczęło się rozchodzić, gdy nauczyciel na chwilę wyszedł."
"55","12","Po tygodniach rozmowy o podróży, zdecydowała się zarezerwować i usunąć ją z jej systemu."
"56","12","Przez cały weekend malował garaż, mając nadzieję, że wyciągnie kreatywną energię z jego ciała."
"57","12","Robiła długie wycieczki , by wyciągnąć stres dnia z jej ciała ."
"43","13","Po kilku przegapionych terminach, menedżer kazał mu zbierać się, jeśli chce zachować pracę."
"44","13","Zdała sobie sprawę, że musi się zbierać, kiedy prawie przegapiła lot z powodu złego planowania."
"45","13","Z wielką prezentacją nadchodzi, ważne jest, aby zespół zebrał się i sfinalizował wszystkie szczegóły."
"67","14","Chociaż wyjaśnienie wydawało się mało prawdopodobne, postanowiłem dać jej korzyść z wątpliwości i uwierzyć jej historii"
"68","14","Kiedy John twierdził, że ma nagły wypadek w rodzinie, jego szef zdecydował się dać mu korzyść z wątpliwości i pozwolił mu odejść wcześniej"
"69","14","Pomimo plotek, dała mu korzyść z wątpliwości, dopóki nie miała wszystkich faktów"
"109","15","Po tym jak prototyp nie udało się przeprowadzić testów bezpieczeństwa, zespół inżynierów nie miał innego wyboru, jak wrócić do deski."
"110","15","Kampania marketingowa nie odzwierciedlała publiczności, więc firma zdecydowała się wrócić do planki do opracowania nowej strategii."
"111","15","Kiedy aktualizacja oprogramowania spowodowała więcej problemów niż rozwiązała, deweloperzy musieli wrócić do deski do rozwiązania problemów."
"97","16","Mimo, że projekt stał przed wieloma niepowodami, menedżer zachęcił zespół do wytrzymania, aż do zakończenia projektu."
"98","16","Kiedy Sarah przechodziła ciężkie czasy podczas egzaminu, jej przyjaciele powiedzieli jej, żeby się trzymać i obiecali, że przyjdą lepsze dni"
