"phrase_id","idiom_id","phrase"
"28","1","Utrata tej pracy okazała się błogosławieństwem w przebraniu, ponieważ zmusiła mnie do dążenia do prawdziwej pasji."
"29","1","Opóźnienie w naszej podróży było błogosławieństwem w przebraniu, ponieważ uniknęliśmy burzy, która uderzyła w obszar"
"30","1","Jej uraz wydawał się nieszczęśliwy na początku, ale to było błogosławieństwo w przebraniu, ponieważ doprowadziło ją do odkrycia nowego hobby, które kocha"
"76","2","W mieście, kawiarnie są dziesięciocentówką za tuzin, każdy oferuje swoją unikalną mieszankę"
"77","2","Jeśli chodzi o wpływowych mediów społecznościowych, są one dziesięcioma tuzinem, ale tylko kilka wyróżniają się z prawdziwą treścią"
"78","2","Tanie pamiątki w obszarach turystycznych są dziesięciocentówką tuzin, co sprawia, że trudno znaleźć coś naprawdę unikalne"
"79","3","Zamiast owijać w bawełnę, powiedz mi co naprawdę myślisz o oświadczynach."
"80","3","Podczas spotkania, ciągle owijała w bawełnę, unikając głównego problemu, którym musieliśmy się zająć."
"81","3","Chciałbym, żeby nie owijał w bawełnę i nie dawał nam prostej odpowiedzi na temat czasu trwania projektu."
"1","4","Po latach odkładania, w końcu skończył pisać powieść, udowadniając, że lepiej późno niż nigdy"
"2","4","W końcu przeprosiła przyjaciółkę za swój błąd, pokazując, że lepiej późno niż wcale."
"3","4","W końcu wprowadzili długo oczekiwaną zmianę polityki i wszyscy zgodzili się, że jest lepiej późno niż nigdy."
"46","5","Pomimo strachu przed lataniem, John musiał ugryźć kulę i wsiąść do samolotu na ważną podróż służbową."
"47","5","Po miesiącach unikania dentysty, w końcu postanowiła ugryźć kulę i umówić się na wizytę."
"48","5","Zdając sobie sprawę, że nie mógł dłużej unikać konfrontacji, Mark wziął głęboki oddech i ugryzł kulę przed wejściem do sali konferencyjnej."
"13","6","Przed wielkim przesłuchaniem przyjaciele Sary zebrali się wokół niej i powiedzieli: ""Połamania nóg!"", by życzyć jej szczęścia."
"14","6","Kiedy kurtyna wstała, reżyser wyszeptał do obsady: ""Połamania nóg, wszyscy!"""
"15","6","Wchodząc do finałowego meczu sezonu, trener powiedział swojej drużynie, żeby złamała nogę na boisku."
"91","7","Po dziesięciu godzinach intensywnych negocjacji, zespół zdecydował się zakończyć to dzień i wznowić jutro"
"92","7","Widząc słońce zachodzące nad horyzontem, turyści zgodzili się, że nadszedł czas, aby zakończyć to dzień i wrócić na kemping"
"93","7","Z ostatnim naczyniem umytym i bez skazy w kuchni, Maria poczuła się na tyle zadowolona, by nazwać to dniem."
"31","8","Po pracy w nadgodzinach przez cały tydzień, jej szef postanowił dać jej trochę luzu i pozwolić jej wyjść wcześniej w piątek"
"32","8","Nauczycielka trochę mu odpuściła, bo wiedziała, że to nagły wypadek rodzinny."
"33","8","Pomimo jego błędów, przyjaciele dali mu trochę luzu, rozumiejąc, że przechodzi przez trudny okres"
"94","9","Wykonawca został zwolniony, bo kroił rogi i narażał bezpieczeństwo budynku."
"95","9","Próbując dotrzymać terminu, zespół zaczął kroić rogi, co doprowadziło do podrzędnych produktów"
"96","9","Jeśli chodzi o jakość, nasza firma ma rygorystyczną politykę wobec cięcia rogów, zapewniając tylko najlepsze dla naszych klientów"
"64","10","Kiedy podnosiliśmy szafkę z ciężkimi antykami, przypomniałem wszystkim, że łatwo to zrobić, aby uniknąć uszkodzeń."
"65","10","Podczas szkolenia młodego szczeniaka, pamiętaj, że łatwo to robi, aby upewnić się, że czuje się komfortowo i bezpiecznie"
"66","10","Kiedy zaczynaliśmy skomplikowany obraz, artysta doradził nam, że łatwo to zrobić, aby osiągnąć doskonałą mieszankę kolorów"
"73","11","Impreza wymknęła się spod kontroli, kiedy pojawili się nieproszeni goście i muzyka wybuchła."
"74","11","Jeśli nie zajmiemy się teraz problemami, sytuacja wymknie się spod kontroli i stanie się nie do opanowania."
"75","11","Klasa zaczęła wymykać się spod kontroli, kiedy nauczyciel wyszedł na chwilę."
"55","12","Po tygodniach rozmowy o podróży, zdecydowała się w końcu zarezerwować ją i pozbyć się jej z organizmu"
"56","12","Spędził cały weekend malując garaż, mając nadzieję, że jego twórcza energia zniknie z jego organizmu."
"57","12","Poszła na długi okres, by pozbyć się stresu z organizmu."
"43","13","Po pominięciu wielu terminów, kierownik powiedział mu, żeby pozbierał się do kupy, jeśli chce utrzymać pracę."
"44","13","Zdała sobie sprawę, że musi się pozbierać, kiedy prawie opuściła lot z powodu kiepskiego planowania."
"45","13","Zbliża się wielka prezentacja. Drużyna musi zebrać się do kupy i sfinalizować szczegóły."
"67","14","Mimo że wyjaśnienie wydawało się mało prawdopodobne, postanowiłem dać jej korzyść z wątpliwości i wierzyć jej historia"
"68","14","Kiedy John twierdził, że ma nagły wypadek rodzinny, jego szef zdecydował się dać mu kredyt zaufania i pozwolić mu wyjść wcześniej."
"69","14","Pomimo plotek, dała mu przewagę wątpliwości, dopóki nie znalazła wszystkich faktów."
"109","15","Po tym jak prototyp oblał testy bezpieczeństwa, zespół inżynieryjny nie miał innego wyboru jak wrócić do tablicy"
"110","15","Kampania marketingowa nie odniosła się do publiczności, więc firma zdecydowała się wrócić do tablicy rysunkowej i opracować nową strategię."
"111","15","Kiedy aktualizacja oprogramowania spowodowała więcej problemów niż rozwiązała, deweloperzy musieli wrócić do tablicy, aby rozwiązać problemy"
"97","16","Mimo, że projekt napotkał wiele niepowodzeń, menedżer zachęcił zespół, by się tam trzymał, dopóki go nie obejrzą."
"98","16","Kiedy Sarah przechodziła ciężki okres podczas egzaminów, jej przyjaciele kazali jej się trzymać i obiecali, że nadejdą lepsze dni."
"99","16","Pomimo burzliwej pogody i długich dni na morzu, kapitan przypomniał swojej załodze, by się tam trzymać, dopóki nie dotrą do brzegu."
"25","17","Po długim dniu wędrówki, byłem gotowy uderzyć w worek i odpocząć"
"26","17","Myślę, że dziś wcześnie pójdę spać, ponieważ rano mam wielką prezentację."
"27","17","Kiedy film się skończył, Sarah zdecydowała się iść spać, bo musiała wcześnie wstać do pracy."
"22","18","Zmontowanie tej półki nie jest nauką rakietową, tylko postępuj zgodnie z instrukcjami, a wszystko będzie dobrze."
"23","18","Gotowanie zwykłego makaronu nie jest nauką rakietową, każdy może to zrobić z odrobiną praktyki"
"24","18","Zarządzanie czasem efektywnie nie jest fizyką rakietową, wymaga tylko trochę planowania i dyscypliny"
"37","19","Po tym jak zdała sobie sprawę, że to jej wina, menadżer postanowił zwolnić Toma z zarzutów."
"38","19","Nauczyciel odpuścił uczniom za niedokończenie pracy domowej z powodu braku prądu."
"39","19","Pomimo dowodów, decyzja ławy przysięgłych odpuściła oskarżonemu."
"100","20","Po zagubieniu się i wyczerpaniu się paliwa, aby skrócić długą historię, w końcu dotarliśmy na ślub w samą porę na przysięgę"
"101","20","Spotkanie ciągnęło się godzinami, ale w skrócie, postanowiliśmy przełożyć projekt na następny kwartał."
"102","20","Krótko mówiąc, po miesiącach polowania na pracę, znalazła wymarzoną pozycję w firmie technologicznej w centrum."
"34","21","Jeśli nie złożysz dziś wniosku, może przegapisz okazję na stypendium."
"35","21","Zawahał się zbyt długo zanim zaprosił ją na bal, a teraz martwi się, że mógł przegapić łódź."
"36","21","Zanim zdecydowała się zainwestować w firmę, już przegapiła łódź, ponieważ ceny akcji wzrosły"
"40","22","Brak bólu, brak zysku jest tym, co mówi sobie za każdym razem, gdy przepycha się przez ostatni zestaw jej treningu"
"41","22","Przypomniał swoim uczniom, że żaden ból, żaden zysk nie odnosi się do nauki ciężko do ich nadchodzących egzaminów"
"42","22","Motto trenera, brak bólu, brak zysku, motywuje drużynę do treningu ciężej niż kiedykolwiek wcześniej."
"10","23","Pomimo napiętego terminu, Maria była na balu i przedłożyła sprawozdanie wcześniej"
"11","23","Z tak wieloma nieprzewidywalnymi zmianami na rynku, ważne jest, aby doradca finansowy był na balu"
"12","23","Szybka odpowiedź Jacka na niespodziewany problem pokazała wszystkim, że naprawdę był na balu."
"4","24","Myślałem, że poważnie myśli o wygraniu na loterii, ale okazało się, że tylko mnie naciągnął."
